WKT,fid,ID,CODIGO,NOMOFICIAL,ALT_DI,ALT_DF,ALT_II,ALT_IF,TIPO_C,LONG,pto_medio,DIRECCION,ESTADO,CANT_LINEA,OBSERVA,NOM_MAPA,SENTIDO,COD_SENT,RED_JERARQ,RED_TP,FFCC,METROBUS,EXTENSION,PAX BENEFI
"MULTILINESTRING ((-58.4914272695229 -34.6458492280816,-58.4931524571849 -34.645402950697))",2,21839,2117,BRUIX,4702,4800,4701,4799,AVENIDA,165.73,-58.4922898634,BRUIX4702,En curso,8,Plan 2020-2023,AV. BRUIX,CRECIENTE-DECRECIENTE,,VÍA LOCAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.4882048600878 -34.6466870125249,-58.4880223418315 -34.6467343759527))",4,22108,2117,BRUIX,0,0,0,0,AVENIDA,17.54,-58.488113601,BRUIX0,En curso,8,Plan 2020-2023,AV. BRUIX,CRECIENTE-DECRECIENTE,,VÍA LOCAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.4690224383206 -34.6359748110728,-58.4702104841036 -34.6363292622512))",8,19026,4078,DIRECTORIO,3002,3100,3001,3099,AVENIDA,115.81,-58.4696164612,DIRECTORIO3002,En curso,8,Plan 2020-2023,AV. DIRECTORIO,CRECIENTE-DECRECIENTE,,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.4724169546901 -34.6369875080186,-58.4734922968836 -34.6373083434617))",9,19299,4078,DIRECTORIO,3302,3400,3301,3399,AVENIDA,104.82,-58.4729546258,DIRECTORIO3302,En curso,8,Plan 2020-2023,AV. DIRECTORIO,CRECIENTE-DECRECIENTE,,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.4800487517073 -34.6376825287995,-58.4804033316241 -34.6378448774361))",12,19439,1033,"ALBERDI, JUAN BAUTISTA",302,400,301,399,AVENIDA,37.17,-58.4802260417,"ALBERDI, JUAN BAUTISTA302",En curso,8,Plan 2020-2023,AV. J. B. ALBERDI,CRECIENTE-DECRECIENTE,,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.4804033316241 -34.6378448774361,-58.4814640118947 -34.6383305795332))",13,19575,1033,"ALBERDI, JUAN BAUTISTA",3902,4000,3901,3999,AVENIDA,111.18,-58.4809336718,"ALBERDI, JUAN BAUTISTA3902",En curso,8,Plan 2020-2023,AV. J. B. ALBERDI,CRECIENTE-DECRECIENTE,,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.472280251026 -34.6344758175323,-58.4733525015523 -34.6348640511512))",15,18634,1033,"ALBERDI, JUAN BAUTISTA",3202,3300,3201,3299,AVENIDA,107.34,-58.4728163763,"ALBERDI, JUAN BAUTISTA3202",En curso,8,Plan 2020-2023,AV. J. B. ALBERDI,CRECIENTE-DECRECIENTE,,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.4734922968836 -34.6373083434617,-58.4744154233902 -34.6379169398483))",18,19457,4078,DIRECTORIO,3402,3500,3401,3499,AVENIDA,108.27,-58.4739538601,DIRECTORIO3402,En curso,8,Plan 2020-2023,AV. DIRECTORIO,CRECIENTE-DECRECIENTE,,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.471196085357 -34.6341199707188,-58.4713361637783 -34.6341629904607,-58.472280251026 -34.6344758175323))",19,18517,1033,"ALBERDI, JUAN BAUTISTA",3102,3200,3101,3199,AVENIDA,106.96,-58.4717386583,"ALBERDI, JUAN BAUTISTA3102",En curso,8,Plan 2020-2023,AV. J. B. ALBERDI,CRECIENTE-DECRECIENTE,,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.4713029361834 -34.6366551865658,-58.4724169546901 -34.6369875080186))",20,19192,4078,DIRECTORIO,3202,3300,3201,3299,AVENIDA,108.59,-58.4718599454,DIRECTORIO3202,En curso,8,Plan 2020-2023,AV. DIRECTORIO,CRECIENTE-DECRECIENTE,,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.4916361220387 -34.6431226857271,-58.492331743752 -34.6434559798089))",21,21073,1033,"ALBERDI, JUAN BAUTISTA",4652,4700,4651,4699,AVENIDA,73.72,-58.4919839329,"ALBERDI, JUAN BAUTISTA4652",En curso,8,Plan 2020-2023,AV. J. B. ALBERDI,CRECIENTE-DECRECIENTE,,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.477351832433 -34.636489393375,-58.4785455731706 -34.6369942604585))",22,19197,1033,"ALBERDI, JUAN BAUTISTA",3702,3800,3701,3799,AVENIDA,122.95,-58.4779487028,"ALBERDI, JUAN BAUTISTA3702",En curso,8,Plan 2020-2023,AV. J. B. ALBERDI,CRECIENTE-DECRECIENTE,,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.4760723520843 -34.6389346893872,-58.4774087298386 -34.6397554772225))",23,20008,4078,DIRECTORIO,3702,3800,3701,3799,AVENIDA,152.66,-58.476740541,DIRECTORIO3702,En curso,8,Plan 2020-2023,AV. DIRECTORIO,CRECIENTE-DECRECIENTE,,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.4763927771705 -34.6360837874397,-58.477351832433 -34.636489393375))",24,19064,1033,"ALBERDI, JUAN BAUTISTA",3602,3700,3601,3699,AVENIDA,98.78,-58.4768723048,"ALBERDI, JUAN BAUTISTA3602",En curso,8,Plan 2020-2023,AV. J. B. ALBERDI,CRECIENTE-DECRECIENTE,,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.4674919592085 -34.6355186687831,-58.4677514117925 -34.6355956326509,-58.4690224383206 -34.6359748110728))",25,18926,4078,DIRECTORIO,2902,3000,2901,2999,AVENIDA,149.18,-58.4682572585,DIRECTORIO2902,En curso,8,Plan 2020-2023,AV. DIRECTORIO,CRECIENTE-DECRECIENTE,,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.4887115398821 -34.641728512079,-58.4895440071399 -34.6421226398629))",26,20682,1033,"ALBERDI, JUAN BAUTISTA",4452,4500,4451,4499,AVENIDA,87.96,-58.4891277735,"ALBERDI, JUAN BAUTISTA4452",En curso,8,Plan 2020-2023,AV. J. B. ALBERDI,CRECIENTE-DECRECIENTE,,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
"MULTILINESTRING ((-58.4936651337138 -34.6440948937963,-58.4948407838829 -34.6446582690854,-58.4949640146477 -34.6446878149274,-58.4950820565372 -34.6447407430279))",27,21485,1033,"ALBERDI, JUAN BAUTISTA",4802,4890,4801,4889,AVENIDA,148.67,-58.4943684293,"ALBERDI, JUAN BAUTISTA4802",En curso,8,Plan 2020-2023,AV. J. B. ALBERDI,CRECIENTE-DECRECIENTE,,VÍA DISTRIBUIDORA PRINCIPAL,,,MTB Alberdi - Directorio,"5,8km",65.000pax/dia
